name,link,sal_min,sal_max,sal_cur,sal_term,site
Senior Python разработчик,https://hh.ru/vacancy/38824363,,,,,https://hh.ru
Разработчик Python,https://hh.ru/vacancy/38649420,,,,,https://hh.ru
"AI Research Engineer [Computer Vision, Machine Learning, Algorithms]",https://hh.ru/vacancy/38309097,,,,,https://hh.ru
Python-разработчик (удаленно),https://hh.ru/vacancy/38674184,,,,,https://hh.ru
Backend разработчик Python,https://hh.ru/vacancy/38587671,70000,120000,руб.,месяц,https://hh.ru
Разработчик Python,https://hh.ru/vacancy/38564115,,,,,https://hh.ru
Back-end Python/Django в сильный проект на всю страну,https://hh.ru/vacancy/38817547,80000,150000,руб.,месяц,https://hh.ru
Python-разработчик аналитической системы,https://hh.ru/vacancy/37600781,,,,,https://hh.ru
QA automation (Python),https://hh.ru/vacancy/38845801,,,,,https://hh.ru
Программист Python,https://hh.ru/vacancy/37045645,,120000,руб.,месяц,https://hh.ru
Senior Python разработчик,https://hh.ru/vacancy/38249504,,,,,https://hh.ru
Python Developer,https://hh.ru/vacancy/38163952,,,,,https://hh.ru
Python Developer,https://hh.ru/vacancy/38673674,,200000,руб.,месяц,https://hh.ru
QA/Автотестировщик (Python или C++),https://hh.ru/vacancy/38243204,,,,,https://hh.ru
Инженер-программист Python (data science),https://hh.ru/vacancy/38711634,,,,,https://hh.ru
Программист MQL4/5 + Python,https://hh.ru/vacancy/38536187,68000,,руб.,месяц,https://hh.ru
Преподаватель Python для Data Science,https://hh.ru/vacancy/38812141,,,,,https://hh.ru
QA automation (Python),https://hh.ru/vacancy/38802590,,,,,https://hh.ru
Python разработчик,https://hh.ru/vacancy/37985565,,,,,https://hh.ru
Python / Django fullstack разработчик,https://hh.ru/vacancy/37797391,,,,,https://hh.ru
Senior разработчик Python/ Разработчик Python,https://hh.ru/vacancy/38405410,,,,,https://hh.ru
Python разработчик (backend),https://hh.ru/vacancy/38109909,,,,,https://hh.ru
Python developer,https://hh.ru/vacancy/38585249,,,,,https://hh.ru
Python Developer SberDevices,https://hh.ru/vacancy/38576137,,,,,https://hh.ru
Full-Stack Web-Developer (Python / Odoo),https://hh.ru/vacancy/34649894,100000,200000,руб.,месяц,https://hh.ru
PHP-разработчик,https://hh.ru/vacancy/39105275,150000,,руб.,месяц,https://hh.ru
Системный администратор Linux,https://hh.ru/vacancy/39151425,,140000,руб.,месяц,https://hh.ru
"Senior Software Engineer, Database Engineering (Cube.js Core)",https://hh.ru/vacancy/36976348,6000,,USD,месяц,https://hh.ru
Linux/Unix администратор,https://hh.ru/vacancy/38613209,,,,,https://hh.ru
Аналитик,https://hh.ru/vacancy/39122970,100000,,руб.,месяц,https://hh.ru
Neural network engineer/AI implementation engineer,https://hh.ru/vacancy/39082011,,,,,https://hh.ru
Продуктовый Аналитик / Product Analyst,https://hh.ru/vacancy/38480330,150000,180000,руб.,месяц,https://hh.ru
Риск-аналитик,https://hh.ru/vacancy/39062880,200000,,руб.,месяц,https://hh.ru
Преподаватель робототехники и программирования,https://hh.ru/vacancy/39045596,60000,100000,руб.,месяц,https://hh.ru
Стажер-разработчик Python,https://hh.ru/vacancy/38993152,,70000,руб.,месяц,https://hh.ru
Программист Python,https://hh.ru/vacancy/39022354,35000,60000,руб.,месяц,https://hh.ru
Junior Python Developer,https://hh.ru/vacancy/38930875,,30000,руб.,месяц,https://hh.ru
Стажер-разработчик Python,https://hh.ru/vacancy/38462015,,,,,https://hh.ru
Стажер-тестировщик,https://hh.ru/vacancy/39010651,,,,,https://hh.ru
Разработчик Python,https://hh.ru/vacancy/37415007,150000,200000,руб.,месяц,https://hh.ru
Senior Python Developer (ML/Модерация),https://hh.ru/vacancy/38936126,,,,,https://hh.ru
Разработчик Data Science / Computer Vision,https://hh.ru/vacancy/39138114,150000,180000,руб.,месяц,https://hh.ru
Тестировщик ПО,https://hh.ru/vacancy/38779734,,,,,https://hh.ru
ML-инженер в команду Big Data,https://hh.ru/vacancy/38804808,,,,,https://hh.ru
Data Scientist (computer vision),https://hh.ru/vacancy/36997030,,,,,https://hh.ru
Data Engineer,https://hh.ru/vacancy/37455410,,,,,https://hh.ru
Data Engineer,https://hh.ru/vacancy/38936444,,,,,https://hh.ru
Специалист по машинному обучению / Machine Learning Engineer,https://hh.ru/vacancy/38637607,,,,,https://hh.ru
Data Scientist/ML Engineer,https://hh.ru/vacancy/38645097,,,,,https://hh.ru
Senior Data Science Engineer,https://hh.ru/vacancy/38895525,,,,,https://hh.ru
Senior Data Scientist (Machine Learning),https://hh.ru/vacancy/39080619,,,,,https://hh.ru
Тестировщик (автоматизация),https://hh.ru/vacancy/38960233,,,,,https://hh.ru
Data science,https://hh.ru/vacancy/39147890,,,,,https://hh.ru
Data Scientist,https://hh.ru/vacancy/39051168,,,,,https://hh.ru
"Full stack Developer Security Big Data (Python, JavaScript)",https://hh.ru/vacancy/38307781,,,,,https://hh.ru
DevOps (Big Data),https://hh.ru/vacancy/37386905,,,,,https://hh.ru
Тестировщик ПО (автоматическое тестирование),https://hh.ru/vacancy/38763240,,150000,руб.,месяц,https://hh.ru
Data Engineer,https://hh.ru/vacancy/38762393,,,,,https://hh.ru
Django разработчик (удаленно),https://hh.ru/vacancy/38616566,,,,,https://hh.ru
Research Python developer - RiskEngine,https://hh.ru/vacancy/38635899,220000,,руб.,месяц,https://hh.ru
Data инженер (Big data),https://hh.ru/vacancy/38824485,,,,,https://hh.ru
Разработчик / Инженер-программист (Python),https://hh.ru/vacancy/37974631,,230000,руб.,месяц,https://hh.ru
Python-разработчик (Senior),https://hh.ru/vacancy/36806796,,,,,https://hh.ru
Back-end javascript программист,https://hh.ru/vacancy/39080053,130000,150000,руб.,месяц,https://hh.ru
Web-программист (удаленно),https://hh.ru/vacancy/38826496,30000,,руб.,месяц,https://hh.ru
Junior Data Scientist,https://hh.ru/vacancy/39156603,,,,,https://hh.ru
Data Scientist,https://hh.ru/vacancy/39126398,100000,,руб.,месяц,https://hh.ru
Специалист по Data Science / Data scientist / Data Engineer,https://hh.ru/vacancy/39126680,,,,,https://hh.ru
Senior Python Web Developer (Django/Flask),https://hh.ru/vacancy/38168318,,,,,https://hh.ru
Senior Python developer,https://hh.ru/vacancy/37551713,,,,,https://hh.ru
QA Automation Engineer,https://hh.ru/vacancy/38820664,,,,,https://hh.ru
Тестировщик ПО,https://hh.ru/vacancy/39062900,60000,100000,руб.,месяц,https://hh.ru
Senior Python developer,https://hh.ru/vacancy/39121983,,,,,https://hh.ru
Backend разработчик Python (middle+/senior),https://hh.ru/vacancy/39124396,150000,200000,руб.,месяц,https://hh.ru
Python-разработчик (Middle),https://hh.ru/vacancy/36806782,,,,,https://hh.ru
Data engineer,https://hh.ru/vacancy/38275082,,,,,https://hh.ru
Разработчик SQL / Data Engineer (Big data),https://hh.ru/vacancy/37948064,,,,,https://hh.ru
Junior Data Scientist,https://hh.ru/vacancy/39103547,,,,,https://hh.ru
Разработчик C/C++,https://hh.ru/vacancy/38646602,130000,180000,руб.,месяц,https://hh.ru
Ведущий разработчик Python (Fullstack),https://hh.ru/vacancy/38848906,,,,,https://hh.ru
Ведущий инженер по автоматизированному тестированию (frontend),https://hh.ru/vacancy/37373784,,,,,https://hh.ru
Python Software Developer,https://hh.ru/vacancy/39025915,,,,,https://hh.ru
GUI-программист (PyQt),https://hh.ru/vacancy/38603799,150000,200000,руб.,месяц,https://hh.ru
Ведущий специалист по Machine learning (3D-алгоритмы),https://hh.ru/vacancy/38172830,250000,,руб.,месяц,https://hh.ru
Python разработчик (middle+),https://hh.ru/vacancy/38792104,,,,,https://hh.ru
Senior Data scientist,https://hh.ru/vacancy/38324035,,,,,https://hh.ru
Data Engineer,https://hh.ru/vacancy/36585686,,,,,https://hh.ru
"Инженер по автоматизированному тестированию (QA Automation Engineer) Python, C",https://hh.ru/vacancy/37468575,90000,140000,руб.,месяц,https://hh.ru
QA engineer,https://hh.ru/vacancy/38642086,,70000,руб.,месяц,https://hh.ru
Senior Python/Go -разработчик,https://hh.ru/vacancy/38467275,,,,,https://hh.ru
Программист по созданию и ведению обучающего курса по Python,https://hh.ru/vacancy/36906276,150000,,руб.,месяц,https://hh.ru
Программист ML/DL,https://hh.ru/vacancy/39160871,,,,,https://hh.ru
Embedded Linux developer,https://hh.ru/vacancy/38902259,,,,,https://hh.ru
"Ведущий специалист (Python, selenium)",https://hh.ru/vacancy/39155576,,,,,https://hh.ru
"PHP-разработчик (full-stack, YII2)",https://hh.ru/vacancy/39091011,60000,,руб.,месяц,https://hh.ru
DevOps - разработчик ПО,https://hh.ru/vacancy/35275243,200000,,руб.,месяц,https://hh.ru
Инженер-программист C++ для встраиваемых систем (Разработчик C++ Linux/Embedded Linux),https://hh.ru/vacancy/38123271,140000,,руб.,месяц,https://hh.ru
Backend разработчик,https://hh.ru/vacancy/38686932,180000,350000,руб.,месяц,https://hh.ru
